accuracy,recall,precision,F_measure,num_edge,n_p,n,p,model
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9755102040816327,0.03333333333333333,0.5,0.0625,2,25_50,25,50,glasso
0.976326530612245,0.06666666666666667,0.6666666666666666,0.1212121212121212,3,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.6595918367346939,0.4666666666666667,0.033734939759036145,0.06292134831460673,415,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.6661224489795918,0.5333333333333333,0.038929440389294405,0.07256235827664399,411,25_50,25,50,glasso
0.9746938775510204,0,0,NA,1,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9714285714285714,0.13333333333333333,0.3076923076923077,0.18604651162790697,13,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9771428571428571,0.06666666666666667,1,0.125,2,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9722448979591837,0.1,0.3,0.15,10,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9730612244897959,0.1,0.3333333333333333,0.15384615384615383,9,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.976326530612245,0.03333333333333333,1,0.06451612903225806,1,25_50,25,50,glasso
0.9755102040816327,0,NA,NA,0,25_50,25,50,glasso
0.9461224489795919,0.3,0.16666666666666666,0.21428571428571427,54,50_50,50,50,glasso
0.8783673469387755,0.36666666666666664,0.07801418439716312,0.1286549707602339,141,50_50,50,50,glasso
0.7975510204081633,0.5,0.06048387096774194,0.1079136690647482,248,50_50,50,50,glasso
0.8914285714285715,0.43333333333333335,0.10077519379844961,0.16352201257861637,129,50_50,50,50,glasso
0.9624489795918367,0.26666666666666666,0.25,0.2580645161290323,32,50_50,50,50,glasso
0.41877551020408166,0.8333333333333334,0.03415300546448088,0.06561679790026247,732,50_50,50,50,glasso
0.9085714285714286,0.4,0.11320754716981132,0.17647058823529413,106,50_50,50,50,glasso
0.9771428571428571,0.1,0.75,0.17647058823529416,4,50_50,50,50,glasso
0.9069387755102041,0.3333333333333333,0.09615384615384616,0.14925373134328357,104,50_50,50,50,glasso
0.4555102040816327,0.7666666666666667,0.03367496339677892,0.06451612903225808,683,50_50,50,50,glasso
0.8702040816326531,0.4,0.0784313725490196,0.13114754098360654,153,50_50,50,50,glasso
0.9069387755102041,0.3,0.08823529411764706,0.13636363636363635,102,50_50,50,50,glasso
0.9755102040816327,0.03333333333333333,0.5,0.0625,2,50_50,50,50,glasso
0.4089795918367347,0.7,0.028532608695652172,0.054830287206266315,736,50_50,50,50,glasso
0.9746938775510204,0,0,NA,1,50_50,50,50,glasso
0.9053061224489796,0.26666666666666666,0.0784313725490196,0.1212121212121212,102,50_50,50,50,glasso
0.9755102040816327,0.03333333333333333,0.5,0.0625,2,50_50,50,50,glasso
0.9526530612244898,0.26666666666666666,0.18181818181818182,0.21621621621621623,44,50_50,50,50,glasso
0.9453061224489796,0.3,0.16363636363636364,0.21176470588235294,55,50_50,50,50,glasso
0.9640816326530612,0.2,0.23076923076923078,0.21428571428571427,26,50_50,50,50,glasso
0.7453061224489796,0.5666666666666667,0.05379746835443038,0.09826589595375725,316,50_50,50,50,glasso
0.9510204081632653,0.3,0.1875,0.23076923076923075,48,50_50,50,50,glasso
0.9575510204081633,0.2,0.17647058823529413,0.18750000000000003,34,50_50,50,50,glasso
0.9036734693877551,0.3333333333333333,0.09259259259259259,0.14492753623188404,108,50_50,50,50,glasso
0.9771428571428571,0.13333333333333333,0.6666666666666666,0.2222222222222222,6,50_50,50,50,glasso
0.9551020408163265,0.4,0.24489795918367346,0.30379746835443044,49,50_50,50,50,glasso
0.9624489795918367,0.16666666666666666,0.19230769230769232,0.17857142857142855,26,50_50,50,50,glasso
0.9248979591836735,0.3,0.1125,0.16363636363636366,80,50_50,50,50,glasso
0.966530612244898,0.16666666666666666,0.23809523809523808,0.19607843137254902,21,50_50,50,50,glasso
0.9714285714285714,0.13333333333333333,0.3076923076923077,0.18604651162790697,13,50_50,50,50,glasso
0.7771428571428571,0.5333333333333333,0.05818181818181818,0.10491803278688523,275,100_50,100,50,glasso
0.763265306122449,0.5666666666666667,0.05782312925170068,0.1049382716049383,294,100_50,100,50,glasso
0.6130612244897959,0.7333333333333333,0.045081967213114756,0.08494208494208495,488,100_50,100,50,glasso
0.7812244897959184,0.6333333333333333,0.06884057971014493,0.12418300653594772,276,100_50,100,50,glasso
0.7053061224489796,0.7666666666666667,0.0610079575596817,0.11302211302211303,377,100_50,100,50,glasso
0.649795918367347,0.8,0.053691275167785234,0.10062893081761007,447,100_50,100,50,glasso
0.8122448979591836,0.6333333333333333,0.07983193277310924,0.1417910447761194,238,100_50,100,50,glasso
0.6040816326530613,0.7,0.04225352112676056,0.07969639468690703,497,100_50,100,50,glasso
0.6930612244897959,0.6333333333333333,0.049479166666666664,0.09178743961352658,384,100_50,100,50,glasso
0.7248979591836735,0.6333333333333333,0.05507246376811594,0.10133333333333333,345,100_50,100,50,glasso
