num_edge,mean,std,num,model,n,p,n_p
20,0.4053333333333333,0.013794329447429273,30,glasso,25,50,25_50
20,0.39066666666666666,0.014182175419055367,30,DC,25,50,25_50
20,0.4053333333333333,0.013794329447429273,30,SCAD,25,50,25_50
20,0.42,0.015432463171517046,30,adapt,25,50,25_50
30,0.3933333333333333,0.010158388062110753,30,glasso,25,50,25_50
30,0.37444444444444447,0.011378020232091043,30,DC,25,50,25_50
30,0.3933333333333333,0.010158388062110753,30,SCAD,25,50,25_50
30,0.41555555555555557,0.010689311849909063,30,adapt,25,50,25_50
40,0.36952380952380953,0.008437190031027695,30,glasso,25,50,25_50
40,0.3514285714285714,0.011875497693189241,30,DC,25,50,25_50
40,0.36952380952380953,0.008437190031027695,30,SCAD,25,50,25_50
40,0.38,0.010356081141436779,30,adapt,25,50,25_50
20,0.5813333333333334,0.01009988429811199,30,glasso,50,50,50_50
20,0.6306666666666667,0.011773077931648734,30,DC,50,50,50_50
20,0.5813333333333334,0.01009988429811199,30,SCAD,50,50,50_50
20,0.636,0.00946378457018146,30,adapt,50,50,50_50
30,0.5511111111111111,0.011156993389349827,30,glasso,50,50,50_50
30,0.6211111111111111,0.012117278474683794,30,DC,50,50,50_50
30,0.5511111111111111,0.011156993389349827,30,SCAD,50,50,50_50
30,0.6166666666666667,0.011043857767129538,30,adapt,50,50,50_50
40,0.5295238095238095,0.010763343263786126,30,glasso,50,50,50_50
40,0.5542857142857143,0.01083863256594674,30,DC,50,50,50_50
40,0.5304761904761904,0.0104940883089592,30,SCAD,50,50,50_50
40,0.5685714285714285,0.010729873718130955,30,adapt,50,50,50_50
20,0.6880000000000001,0.009277336121820818,30,glasso,100,50,100_50
20,0.748,0.008392662367163076,30,DC,100,50,100_50
20,0.6880000000000001,0.009277336121820818,30,SCAD,100,50,100_50
20,0.752,0.00647541770720303,30,adapt,100,50,100_50
30,0.7211111111111111,0.011128339134206371,30,glasso,100,50,100_50
30,0.7722222222222223,0.01073104772472511,30,DC,100,50,100_50
30,0.7233333333333334,0.01109001829336303,30,SCAD,100,50,100_50
30,0.7822222222222223,0.011270881948913462,30,adapt,100,50,100_50
40,0.6685714285714286,0.01092486011872245,30,glasso,100,50,100_50
