num_edge,mean,std,num,model,n,p,n_p
20,0.16133333333333333,0.011897390164246383,30,glasso,25,50,25_50
20,0.164,0.012332556670171376,30,DC,25,50,25_50
20,0.058666666666666666,0.009537986164627645,30,SCAD,25,50,25_50
20,0.15866666666666668,0.01293425758043685,30,adapt,25,50,25_50
30,0.16111111111111112,0.011534094424130552,30,glasso,25,50,25_50
30,0.16111111111111112,0.010611366870200105,30,DC,25,50,25_50
30,0.07777777777777778,0.008946175554143307,30,SCAD,25,50,25_50
30,0.16444444444444445,0.011627831734190807,30,adapt,25,50,25_50
40,0.1561904761904762,0.009853092462449484,30,glasso,25,50,25_50
40,0.1523809523809524,0.009424772418035028,30,DC,25,50,25_50
40,0.08571428571428572,0.008877935232369506,30,SCAD,25,50,25_50
40,0.15142857142857144,0.00970114053138416,30,adapt,25,50,25_50
20,0.248,0.014530190528056033,30,glasso,50,50,50_50
20,0.268,0.014624809655898581,30,DC,50,50,50_50
20,0.22,0.013252629320555454,30,SCAD,50,50,50_50
20,0.28,0.013962182090763326,30,adapt,50,50,50_50
30,0.24000000000000002,0.013692480993592722,30,glasso,50,50,50_50
30,0.25666666666666665,0.012395154163756698,30,DC,50,50,50_50
30,0.2088888888888889,0.012059170141599474,30,SCAD,50,50,50_50
30,0.25555555555555554,0.012414029608456128,30,adapt,50,50,50_50
40,0.22666666666666668,0.01247532555695339,30,glasso,50,50,50_50
40,0.24571428571428575,0.009148602464129739,30,DC,50,50,50_50
40,0.20190476190476192,0.011123458617404259,30,SCAD,50,50,50_50
40,0.2380952380952381,0.009814926692948776,30,adapt,50,50,50_50
20,0.33466666666666667,0.016101212443340836,30,glasso,100,50,100_50
20,0.38266666666666665,0.013518257839646237,30,DC,100,50,100_50
20,0.3546666666666667,0.014697981199504785,30,SCAD,100,50,100_50
20,0.37733333333333335,0.013653624278509247,30,adapt,100,50,100_50
30,0.31666666666666665,0.011385500851066224,30,glasso,100,50,100_50
30,0.3433333333333333,0.0123951541637567,30,DC,100,50,100_50
30,0.3277777777777778,0.014031831476804592,30,SCAD,100,50,100_50
30,0.3466666666666667,0.011917125490189084,30,adapt,100,50,100_50
40,0.30000000000000004,0.011440880071264923,30,glasso,100,50,100_50
40,0.3180952380952381,0.01049855799964628,30,DC,100,50,100_50
40,0.3066666666666667,0.011699043576782803,30,SCAD,100,50,100_50
40,0.32476190476190475,0.010018358314772352,30,adapt,100,50,100_50
20,0.12,0.011507119235649222,30,glasso,50,100,50_100
20,0.15866666666666668,0.011262115655690345,30,DC,50,100,50_100
20,0.052,0.0069546974119622205,30,SCAD,50,100,50_100
20,0.152,0.012190065674532902,30,adapt,50,100,50_100
30,0.12555555555555556,0.009810898276373941,30,glasso,50,100,50_100
30,0.15444444444444444,0.0121172784746838,30,DC,50,100,50_100
30,0.06888888888888889,0.006954207696268768,30,SCAD,50,100,50_100
30,0.14333333333333334,0.011430281754889884,30,adapt,50,100,50_100
40,0.12190476190476192,0.009384864945545749,30,glasso,50,100,50_100
40,0.14190476190476192,0.010653815857312643,30,DC,50,100,50_100
40,0.0761904761904762,0.007544794165044167,30,SCAD,50,100,50_100
40,0.1380952380952381,0.010529792710298466,30,adapt,50,100,50_100
20,0.17600000000000002,0.01417136500859732,30,glasso,100,100,100_100
20,0.24533333333333335,0.017653975055183523,30,DC,100,100,100_100
