n_p,K,num_estimated_mean,num_estimated_std
100_100,101,143.2,21.08174565827033
100_100,149,166,14.120906486483081
100_100,198,207.4,8.207313811473277
100_100,247,254.2,6.028266749240613
100_100,296,301.6,4.66476151587624
100_100,345,349,3.3015148038438356
100_100,394,397,2.5298221281347035
100_100,443,445.2,1.9595917942265422
100_100,492,494.2,1.9595917942265422
100_100,541,543.2,1.9595917942265426
100_100,590,591.8,1.562049935181331
100_100,639,640.2,1.1999999999999997
100_100,688,689.2,1.1999999999999997
100_100,737,738.2,1.1999999999999997
100_100,786,786.8,0.8
100_100,835,835.8,0.8
100_100,884,884.6,0.5999999999999999
100_100,933,933.6,0.5999999999999999
100_100,982,982.4,0.4
100_100,1031,1031.4,0.4000000000000001
100_100,1080,1080.2,0.20000000000000004
100_100,1129,1129.2,0.20000000000000004
100_100,1178,1178.2,0.20000000000000004
100_100,1227,1227.2,0.20000000000000004
100_100,1276,1276.2,0.20000000000000004
100_100,1325,1325.2,0.20000000000000004
100_100,1374,1374,0
100_100,1423,1423.2,0.20000000000000004
100_100,1472,1472,0
100_100,1521,1521,0
100_100,1570,1570,0
100_100,1619,1619,0
100_100,1668,1668,0
100_100,1717,1717,0
100_100,1766,1766,0
100_100,1815,1815,0
100_100,1864,1864,0
100_100,1913,1913,0
100_100,1962,1962,0
100_100,2011,2011,0
100_100,2060,2060,0
100_100,2109,2109,0
100_100,2158,2158,0
100_100,2207,2207,0
100_100,2256,2256,0
100_100,2305,2305,0
100_100,2354,2354,0
100_100,2403,2403,0
100_100,2452,2452,0
100_100,2501,2501,0
100_100,2549,2549,0
100_100,2598,2598,0
100_100,2647,2647,0
100_100,2696,2696,0
100_100,2745,2898.6,153.6
100_100,2794,2794,0
100_100,2843,2843,0
100_100,2892,2892,0
100_100,2941,2941,0
100_100,2990,3095.8,105.8
100_100,3039,3196.6,157.59999999999997
100_100,3088,3324.2,152.37007580230443
100_100,3137,3378.8,133.66876972576654
100_100,3186,3406.6,124.97543758675143
100_100,3235,3431.6,114.92414889830597
100_100,3284,3494.8,101.5669237498114
100_100,3333,3530,88.29835785562493
100_100,3382,3556.6,80.6148869626448
100_100,3431,3583.8,73.5114956996523
100_100,3480,3612.8,66.7648110908733
100_100,3529,3643.2,59.654337646142714
100_100,3578,3675.2,53.2760734288855
100_100,3627,3710.4,46.656832297103065
100_100,3676,3746.8,42.57980742088907
100_100,3725,3784.2,36.59699441210985
100_100,3774,3825.4,32.99787871969954
100_100,3823,3866.4,28.322429274340152
100_100,3872,3907.8,24.032061917363645
100_100,3921,3951,21.787611158637837
100_100,3970,3993.4,17.733020047357975
100_100,4019,4039.2,16.156732342896568
100_100,4068,4084.2,12.893409169028958
100_100,4117,4130,10.853570840972107
100_100,4166,4175.8,8.3510478384451865
100_100,4215,4222.6,6.860029154456999
100_100,4264,4270.4,5.662155066756826
100_100,4313,4316.8,3.8131351929875232
100_100,4362,4364.8,3.32264954516723
100_100,4411,4411.4,2.3151673805580453
100_100,4460,4459.2,1.4628738838327793
100_100,4509,4506.4,1.6613247725836149
100_100,4558,4551.6,2.315167380558045
100_100,4607,4596.4,3.5156791662493894
100_100,4656,4642.6,4.249705872175156
100_100,4705,4685.8,5.544366510251645
100_100,4754,4728.6,7.467261881037787
100_100,4803,4771.4,8.947625383307013
100_100,4852,4808.8,10.809255293497328
100_100,4901,4847.2,12.547509713086498
100_100,4950,4882,12.957623238850555
100_200,201,201,0
100_200,399,399,0
100_200,598,598,0
100_200,797,797,0
100_200,996,996,0
100_200,1195,1195,0
100_200,1394,1394,0
100_200,1593,1593,0
100_200,1792,1792,0
100_200,1991,1991,0
100_200,2190,2190,0
100_200,2389,2389,0
100_200,2588,2588,0
100_200,2787,2787,0
100_200,2986,2986,0
100_200,3185,3185,0
100_200,3384,3384,0
100_200,3583,3583,0
100_200,3782,3782,0
100_200,3981,3981,0
100_200,4180,4180,0
100_200,4379,4379,0
100_200,4578,4578,0
100_200,4777,4777,0
100_200,4976,4976,0
100_200,5175,5175,0
100_200,5374,5374,0
100_200,5573,5573,0
100_200,5772,5772,0
100_200,5971,5971,0
100_200,6170,6170,0
100_200,6369,6369,0
100_200,6568,6568,0
100_200,6767,6767,0
100_200,6966,6966,0
100_200,7165,7165,0
100_200,7364,7364,0
100_200,7563,7563,0
100_200,7762,7762,0
100_200,7961,7961,0
100_200,8160,8160,0
100_200,8359,8359,0
100_200,8558,8558,0
100_200,8757,8757,0
100_200,8956,8956,0
100_200,9155,9155,0
100_200,9354,9354,0
100_200,9553,9553,0
100_200,9752,9752,0
100_200,9951,9951,0
100_200,10149,10149,0
100_200,10348,10348,0
100_200,10547,10547,0
100_200,10746,10746,0
100_200,10945,10945,0
100_200,11144,11144,0
100_200,11343,11343,0
100_200,11542,11542,0
100_200,11741,11741,0
100_200,11940,11940,0
100_200,12139,12139,0
100_200,12338,12338,0
100_200,12537,12537,0
100_200,12736,12736,0
100_200,12935,12935,0
100_200,13134,13134,0
100_200,13333,13333,0
100_200,13532,13532,0
100_200,13731,13731,0
100_200,13930,13930,0
100_200,14129,14129,0
100_200,14328,14328,0
100_200,14527,14527,0
100_200,14726,14726,0
100_200,14925,14925,0
100_200,15124,15124,0
100_200,15323,15323,0
100_200,15522,15522,0
100_200,15721,15721,0
100_200,15920,15920,0
100_200,16119,16119,0
100_200,16318,16318,0
100_200,16517,16517,0
100_200,16716,16716,0
100_200,16915,16915,0
100_200,17114,17114,0
100_200,17313,17313,0
100_200,17512,17512,0
100_200,17711,17711,0
100_200,17910,17910,0
100_200,18109,18109,0
100_200,18308,18308,0
100_200,18507,18507,0
100_200,18706,18706,0
100_200,18905,18905,0
100_200,19104,19103.8,0.19999999999999998
100_200,19303,19302,0.7745966692414833
100_200,19502,19498.4,1.5033296378372907
100_200,19701,19688.6,4.8846698967279245
100_200,19900,19848.4,6.120457499239743
100_50,51,336.6,67.86501307743187
100_50,62,334,67.30676043310955
100_50,74,331.8,66.96670814666045
100_50,86,327.8,66.74533691577263
100_50,98,326.6,66.53314963234492
100_50,110,326.8,65.96620346813965
100_50,122,327.2,64.9587561457268
100_50,134,328.2,63.94325609475951
100_50,145,330.2,63.10736882488446
100_50,157,330.6,61.779932016796515
100_50,169,333,59.39781140749211
100_50,181,335.2,57.42072796473413
100_50,193,340,55.54907740007929
100_50,205,343.2,53.52700253143267
100_50,217,347,50.762190654068505
100_50,228,349.6,47.7939326693253
100_50,240,355,45.04775244115959
100_50,252,360.8,43.008603790404536
100_50,264,364.6,40.922609887444864
100_50,276,369.2,38.801288638394475
100_50,288,375.4,36.441185491144495
100_50,300,382.6,34.66064050187185
100_50,311,389.2,33.404191353780746
100_50,323,395.6,30.847366176061126
100_50,335,401,29.00861940872057
100_50,347,407.6,27.385397568777417
100_50,359,415.2,25.50568564065667
100_50,371,422,24.06449667040638
100_50,383,429.8,22.599557517792245
100_50,394,436.8,21.164593074283285
100_50,406,576.6,146.25204272077704
100_50,418,586.2,143.8107784555803
100_50,430,594.8,141.5886294869754
100_50,442,603,139.2203289753332
100_50,454,611.4,137.99007210665556
100_50,466,620,135.10255363981835
100_50,477,628,133.7923764644309
100_50,489,636.8,131.78482461952893
100_50,501,644,128.9356428610801
100_50,513,651.8,126.91981720755825
100_50,525,660.4,124.50365456483594
100_50,537,668.8,123.36871564541798
100_50,549,676.8,121.3385346870482
100_50,560,685.2,118.7423260678348
100_50,572,694,115.78903229580942
100_50,584,701.8,113.56601604353303
100_50,596,710,110.26558846711877
100_50,608,825.8,132.17579203469901
100_50,620,832.4,129.0668818868729
