n_p,K,num_estimated_mean,num_estimated_std
100_100,101,101,0
100_100,149,149,0
100_100,198,198,0
100_100,247,247,0
100_100,296,296,0
100_100,345,345,0
100_100,394,394,0
100_100,443,443,0
100_100,492,492,0
100_100,541,541,0
100_100,590,590,0
100_100,639,639,0
100_100,688,688,0
100_100,737,737,0
100_100,786,786,0
100_100,835,835,0
100_100,884,884,0
100_100,933,933,0
100_100,982,982,0
100_100,1031,1031,0
100_100,1080,1080,0
100_100,1129,1129,0
100_100,1178,1178,0
100_100,1227,1227,0
100_100,1276,1276,0
100_100,1325,1325,0
100_100,1374,1374,0
100_100,1423,1423,0
100_100,1472,1472,0
100_100,1521,1521,0
100_100,1570,1570,0
100_100,1619,1619,0
100_100,1668,1668,0
100_100,1717,1717,0
100_100,1766,1766,0
100_100,1815,1815,0
100_100,1864,1864,0
100_100,1913,1913,0
100_100,1962,1962,0
100_100,2011,2011,0
100_100,2060,2060,0
100_100,2109,2109,0
100_100,2158,2158,0
100_100,2207,2207,0
100_100,2256,2256,0
100_100,2305,2305,0
100_100,2354,2354,0
100_100,2403,2403,0
100_100,2452,2452,0
100_100,2501,2501,0
100_100,2549,2549,0
100_100,2598,2598,0
100_100,2647,2647,0
100_100,2696,2696,0
100_100,2745,2745,0
100_100,2794,2794,0
100_100,2843,2843,0
100_100,2892,2892,0
100_100,2941,2941,0
100_100,2990,2990,0
100_100,3039,3039,0
100_100,3088,3088,0
100_100,3137,3137,0
100_100,3186,3186,0
100_100,3235,3235,0
100_100,3284,3284,0
100_100,3333,3333,0
100_100,3382,3382,0
100_100,3431,3431,0
100_100,3480,3480,0
100_100,3529,3529,0
100_100,3578,3578,0
100_100,3627,3627,0
100_100,3676,3676,0
100_100,3725,3725,0
100_100,3774,3774,0
100_100,3823,3823,0
100_100,3872,3872,0
100_100,3921,3921,0
100_100,3970,3970,0
100_100,4019,4019,0
100_100,4068,4068,0
100_100,4117,4117,0
100_100,4166,4166,0
100_100,4215,4215,0
100_100,4264,4264,0
100_100,4313,4313,0
100_100,4362,4361.2,0.3741657386773941
100_100,4411,4409.8,0.58309518948453
100_100,4460,4458.6,0.6
100_100,4509,4507,0.8944271909999159
100_100,4558,4554,2.2135943621178655
100_100,4607,4602,2.569046515733026
100_100,4656,4647.2,4.586937976471885
100_100,4705,4693,5.7096409694480785
100_100,4754,4739.4,7.032780389006898
100_100,4803,4783,8.757853618324527
100_100,4852,4825,9.909591313469996
100_100,4901,4864.4,11.664475984801031
100_100,4950,4896.6,13.901798444805621
100_200,201,201,0
100_200,399,399,0
100_200,598,598,0
100_200,797,797,0
100_200,996,996,0
100_200,1195,1195,0
100_200,1394,1394,0
100_200,1593,1593,0
100_200,1792,1792,0
100_200,1991,1991,0
100_200,2190,2190,0
100_200,2389,2389,0
100_200,2588,2588,0
100_200,2787,2787,0
100_200,2986,2986,0
100_200,3185,3185,0
100_200,3384,3384,0
100_200,3583,3583,0
100_200,3782,3782,0
100_200,3981,3981,0
100_200,4180,4180,0
100_200,4379,4379,0
100_200,4578,4578,0
100_200,4777,4777,0
100_200,4976,4976,0
100_200,5175,5175,0
100_200,5374,5374,0
100_200,5573,5573,0
100_200,5772,5772,0
100_200,5971,5971,0
100_200,6170,6170,0
100_200,6369,6369,0
100_200,6568,6568,0
100_200,6767,6767,0
100_200,6966,6966,0
100_200,7165,7165,0
100_200,7364,7364,0
100_200,7563,7563,0
100_200,7762,7762,0
100_200,7961,7961,0
100_200,8160,8160,0
100_200,8359,8359,0
100_200,8558,8558,0
100_200,8757,8757,0
100_200,8956,8956,0
100_200,9155,9155,0
100_200,9354,9354,0
100_200,9553,9553,0
100_200,9752,9752,0
100_200,9951,9951,0
100_200,10149,10149,0
100_200,10348,10348,0
100_200,10547,10547,0
100_200,10746,10746,0
100_200,10945,10945,0
100_200,11144,11144,0
100_200,11343,11343,0
100_200,11542,11542,0
100_200,11741,11741,0
100_200,11940,11940,0
100_200,12139,12139,0
100_200,12338,12338,0
100_200,12537,12537,0
100_200,12736,12736,0
100_200,12935,12935,0
100_200,13134,13134,0
100_200,13333,13333,0
100_200,13532,13532,0
100_200,13731,13731,0
100_200,13930,13930,0
100_200,14129,14128.8,0.19999999999999998
100_200,14328,14327.8,0.19999999999999998
100_200,14527,14526.8,0.19999999999999998
100_200,14726,14725.8,0.19999999999999998
100_200,14925,14924.8,0.19999999999999998
100_200,15124,15123.8,0.19999999999999998
100_200,15323,15323,0
100_200,15522,15521.8,0.19999999999999998
100_200,15721,15720.8,0.19999999999999998
100_200,15920,15919.8,0.19999999999999998
100_200,16119,16118.2,0.3741657386773941
100_200,16318,16316.4,0.8124038404635959
100_200,16517,16514.8,1.1575836902790224
100_200,16716,16712.6,1.4
100_200,16915,16909.2,2.3748684174075834
100_200,17114,17105.8,3.411744421846396
100_200,17313,17301.2,4.963869458396343
100_200,17512,17497.8,5.96992462263972
