loglik_mean,num_edge,n_p,n,p,model
-65.5464084111576,9.6,25_50,25,50,DC
-65.1510870803185,18.2,25_50,25,50,DC
-64.96055936812277,29,25_50,25,50,DC
-64.62118528493862,41.8,25_50,25,50,DC
-64.22939106704827,52.8,25_50,25,50,DC
-63.95260593484011,64.2,25_50,25,50,DC
-64.00251750805656,77,25_50,25,50,DC
-63.95241421073751,90.6,25_50,25,50,DC
-63.97344908324167,103,25_50,25,50,DC
-63.80933807170976,140.2,25_50,25,50,DC
-63.91929807585946,149.2,25_50,25,50,DC
-63.96298785150956,159.2,25_50,25,50,DC
-63.88921336176492,168.4,25_50,25,50,DC
-63.76497658545278,177.8,25_50,25,50,DC
-63.880006191514866,189.4,25_50,25,50,DC
-63.93283449476728,199.4,25_50,25,50,DC
-63.91674742641424,210,25_50,25,50,DC
-63.84837733146647,220.2,25_50,25,50,DC
-63.889999484249735,231.4,25_50,25,50,DC
-63.97423843131471,242,25_50,25,50,DC
-63.99858150976919,254,25_50,25,50,DC
-64.03533436111896,265.8,25_50,25,50,DC
-64.09860542458428,277.6,25_50,25,50,DC
-64.14645027029142,288.4,25_50,25,50,DC
-64.10954205991798,300.4,25_50,25,50,DC
-64.11600422992304,313,25_50,25,50,DC
-64.22270846652347,324,25_50,25,50,DC
-64.09204478241462,336.2,25_50,25,50,DC
-64.1369349962653,348.8,25_50,25,50,DC
-64.14513711324084,361,25_50,25,50,DC
-64.19636047926467,373,25_50,25,50,DC
-64.2182067012994,385.6,25_50,25,50,DC
-64.20944419547473,397.4,25_50,25,50,DC
-64.25131531768798,410.4,25_50,25,50,DC
-64.17869685374822,421.8,25_50,25,50,DC
-64.20103016896117,433.6,25_50,25,50,DC
-64.16856183051001,446.4,25_50,25,50,DC
-64.23648228239222,458.2,25_50,25,50,DC
-64.24778475879067,470.4,25_50,25,50,DC
-64.17934610344582,483.4,25_50,25,50,DC
-64.18149123944983,495.4,25_50,25,50,DC
-64.18281575223833,507.2,25_50,25,50,DC
-64.22807547562098,520.2,25_50,25,50,DC
-64.23651621751995,532.2,25_50,25,50,DC
-64.30485388947795,545.2,25_50,25,50,DC
-64.29550216805795,557.6,25_50,25,50,DC
-64.29178413357013,569.4,25_50,25,50,DC
-64.28259639818619,582.2,25_50,25,50,DC
-64.2634423823838,594.4,25_50,25,50,DC
-64.25984225364596,606,25_50,25,50,DC
-64.26923506403072,619,25_50,25,50,DC
-64.24747494903583,631,25_50,25,50,DC
-64.22901986692686,643,25_50,25,50,DC
-64.19789049918718,656,25_50,25,50,DC
-64.20905562277906,668,25_50,25,50,DC
-64.17394122842437,681,25_50,25,50,DC
-64.16741942963684,693,25_50,25,50,DC
-64.20702928726146,705,25_50,25,50,DC
-64.27659600949245,718,25_50,25,50,DC
-64.22141207762257,730.6,25_50,25,50,DC
-64.20097203062349,742.6,25_50,25,50,DC
-64.23736989758181,755.6,25_50,25,50,DC
-64.28484459347705,767.6,25_50,25,50,DC
-64.26550252933444,779.4,25_50,25,50,DC
-64.28024252575779,792.2,25_50,25,50,DC
-64.27210024045434,804.2,25_50,25,50,DC
-64.26185464422197,817.2,25_50,25,50,DC
-64.27611783096243,829.2,25_50,25,50,DC
-64.27740952649665,841,25_50,25,50,DC
-64.2630188235571,854,25_50,25,50,DC
-64.2092582246693,866,25_50,25,50,DC
-64.16474173049207,878,25_50,25,50,DC
-64.1884573235511,891,25_50,25,50,DC
-64.18325475194428,902.8,25_50,25,50,DC
-64.19112975346218,914.8,25_50,25,50,DC
-64.20512646929859,927.8,25_50,25,50,DC
-64.19543087921535,939.8,25_50,25,50,DC
-64.19656766854366,952.8,25_50,25,50,DC
-64.25760880426981,964.8,25_50,25,50,DC
-64.23369001554381,976.8,25_50,25,50,DC
-64.22477050641663,989.8,25_50,25,50,DC
-64.22067375084966,1001.8,25_50,25,50,DC
-64.19829037251391,1013.6,25_50,25,50,DC
-64.19778441677315,1026.4,25_50,25,50,DC
-64.20497356831356,1037.8,25_50,25,50,DC
-64.20235500063663,1049,25_50,25,50,DC
-64.20144658487266,1061.2,25_50,25,50,DC
-64.2097999524216,1072.8,25_50,25,50,DC
-64.2144524144084,1085,25_50,25,50,DC
-64.22273819459409,1096,25_50,25,50,DC
-64.23067390467104,1107.6,25_50,25,50,DC
-64.23055856528569,1120,25_50,25,50,DC
-64.24884092946168,1130.8,25_50,25,50,DC
-64.2492899501687,1141,25_50,25,50,DC
-64.24694565058127,1151.6,25_50,25,50,DC
-64.23987343289099,1161,25_50,25,50,DC
-64.23697842582897,1169,25_50,25,50,DC
-64.23714389905432,1176,25_50,25,50,DC
-64.23016440087565,1183.6,25_50,25,50,DC
-64.23334012069867,1190,25_50,25,50,DC
-65.41624072758458,5.2,50_50,50,50,DC
-63.912700018204816,15.2,50_50,50,50,DC
-63.052297228210314,36.6,50_50,50,50,DC
-63.24006709545804,55.2,50_50,50,50,DC
-63.30065088746961,63.8,50_50,50,50,DC
-63.41420067016048,73.6,50_50,50,50,DC
-63.50230920884649,83.2,50_50,50,50,DC
-63.5135990727377,93.6,50_50,50,50,DC
-63.62078614467695,131.8,50_50,50,50,DC
-63.63870825693949,141.2,50_50,50,50,DC
-63.746571816403026,154.6,50_50,50,50,DC
-63.61146418465405,221.2,50_50,50,50,DC
-63.589376058498246,232.6,50_50,50,50,DC
-63.56486216028934,236.8,50_50,50,50,DC
-63.645239533033894,241.2,50_50,50,50,DC
-63.62089789538156,244.2,50_50,50,50,DC
-63.70284463948185,251.2,50_50,50,50,DC
-63.793508134124146,259.6,50_50,50,50,DC
-63.81171518474536,267.4,50_50,50,50,DC
-63.82550780949158,276.4,50_50,50,50,DC
-63.78557700930231,284,50_50,50,50,DC
-63.70825109343083,293,50_50,50,50,DC
-63.72084744754092,301.2,50_50,50,50,DC
-63.73994831423768,309.8,50_50,50,50,DC
-63.66522476774951,317.4,50_50,50,50,DC
-63.638750801307886,326.4,50_50,50,50,DC
-63.689591847954695,336.4,50_50,50,50,DC
-63.73362257679223,345.4,50_50,50,50,DC
-63.68809183212442,356.4,50_50,50,50,DC
-63.67635097868693,367.2,50_50,50,50,DC
-63.72529624285587,378.4,50_50,50,50,DC
-63.67749739569522,391.4,50_50,50,50,DC
-63.67528112924919,402.4,50_50,50,50,DC
-63.71345887515131,414,50_50,50,50,DC
-63.71212057793247,425.8,50_50,50,50,DC
-63.705417017394204,437,50_50,50,50,DC
-63.7048827282675,449.6,50_50,50,50,DC
-63.74533391422292,461.2,50_50,50,50,DC
-63.77472882812676,473,50_50,50,50,DC
-63.86161382708748,485.4,50_50,50,50,DC
-63.82662408946307,497.2,50_50,50,50,DC
-63.8516402639381,508.8,50_50,50,50,DC
-63.825929259678766,521.6,50_50,50,50,DC
-63.83135544395996,533.6,50_50,50,50,DC
-63.84055581597844,546.2,50_50,50,50,DC
-63.82636172604183,557.8,50_50,50,50,DC
-63.86850460263316,569.8,50_50,50,50,DC
-63.84130012920174,582.8,50_50,50,50,DC
-63.82606712707696,594.6,50_50,50,50,DC
-63.81860822404245,606.8,50_50,50,50,DC
-63.82940547495114,619.6,50_50,50,50,DC
-63.83709359696382,631.6,50_50,50,50,DC
-63.891192623972266,643.6,50_50,50,50,DC
-63.88259386761177,656.2,50_50,50,50,DC
-63.92344021902087,668.2,50_50,50,50,DC
-63.95201673543515,681.2,50_50,50,50,DC
-63.99310041704277,693,50_50,50,50,DC
-63.99730755030564,705,50_50,50,50,DC
-64.0095160654579,718,50_50,50,50,DC
-64.01162421985443,730,50_50,50,50,DC
-64.01179186236678,742,50_50,50,50,DC
-64.03721091233187,755,50_50,50,50,DC
-64.03192091673867,767,50_50,50,50,DC
-64.04181655288232,779,50_50,50,50,DC
-64.0286250625008,792.4,50_50,50,50,DC
-64.05987462685925,804.4,50_50,50,50,DC
-64.03066014985534,817,50_50,50,50,DC
-64.05108202130656,829,50_50,50,50,DC
-64.06922510444252,841,50_50,50,50,DC
-64.09021763412102,854,50_50,50,50,DC
-64.11331830669599,866,50_50,50,50,DC
-64.09833512491569,878.2,50_50,50,50,DC
-64.10137996568797,891.2,50_50,50,50,DC
-64.11019390658231,903.2,50_50,50,50,DC
-64.10478479955107,915.4,50_50,50,50,DC
-64.08736400160414,928,50_50,50,50,DC
-64.09711532423749,939.8,50_50,50,50,DC
-64.10920231679982,952.2,50_50,50,50,DC
-64.09408804014294,964,50_50,50,50,DC
-64.11503842425742,975.4,50_50,50,50,DC
-64.1169252448802,988.2,50_50,50,50,DC
-64.12757796076201,999.8,50_50,50,50,DC
-64.14704650587036,1012,50_50,50,50,DC
-64.15833486686122,1023.8,50_50,50,50,DC
-64.16679998218356,1035,50_50,50,50,DC
-64.16819799450876,1046.6,50_50,50,50,DC
-64.1790382958999,1058.6,50_50,50,50,DC
-64.17930941696238,1070,50_50,50,50,DC
-64.17653474645023,1081.6,50_50,50,50,DC
-64.17124125313846,1093.2,50_50,50,50,DC
-64.16223547236936,1102.4,50_50,50,50,DC
-64.15316819442909,1113.8,50_50,50,50,DC
-64.15890014018443,1122.6,50_50,50,50,DC
-64.15533452948523,1132.4,50_50,50,50,DC
-64.15027106413326,1141,50_50,50,50,DC
-64.15288348432135,1149.2,50_50,50,50,DC
-64.15540326954437,1156.4,50_50,50,50,DC
-64.1509270061265,1163.8,50_50,50,50,DC
-64.15321756623705,1171.2,50_50,50,50,DC
-64.15474751622375,1177.4,50_50,50,50,DC
-63.208852543608856,5.4,100_50,100,50,DC
-60.936136258271105,17.4,100_50,100,50,DC
-60.26646050003676,29,100_50,100,50,DC
-60.13714701002537,39.8,100_50,100,50,DC
-60.13285053789616,63.8,100_50,100,50,DC
-60.14548649074368,62.8,100_50,100,50,DC
-60.29993289867957,86.4,100_50,100,50,DC
-60.331527800847475,139,100_50,100,50,DC
-60.42393666449243,145,100_50,100,50,DC
-60.51734241886277,165.8,100_50,100,50,DC
-60.5654553981655,169.4,100_50,100,50,DC
-60.60665739247093,175.6,100_50,100,50,DC
-60.71010556122282,181.6,100_50,100,50,DC
-60.75670347468253,187.6,100_50,100,50,DC
-60.789493508421494,196.2,100_50,100,50,DC
-60.813778522890246,205,100_50,100,50,DC
-60.80947401006849,216,100_50,100,50,DC
-60.89893832351792,227,100_50,100,50,DC
-60.9358935581671,235.6,100_50,100,50,DC
-60.96363350632268,247.6,100_50,100,50,DC
-60.989151115136,258.6,100_50,100,50,DC
-61.064522903368896,269,100_50,100,50,DC
-61.052802574472025,281,100_50,100,50,DC
-61.0805997508324,292,100_50,100,50,DC
-61.122793487439814,302.6,100_50,100,50,DC
-61.12371551489562,313.8,100_50,100,50,DC
-61.15834513224423,325,100_50,100,50,DC
-61.170212383546016,336.8,100_50,100,50,DC
-61.162240066520404,349,100_50,100,50,DC
-61.16016108954421,360.2,100_50,100,50,DC
-61.1890854873769,371.8,100_50,100,50,DC
-61.16640638306382,384.6,100_50,100,50,DC
-61.23602464136525,396.6,100_50,100,50,DC
-61.27565248265897,420.2,100_50,100,50,DC
-61.237048879413464,441.2,100_50,100,50,DC
-61.26123122831572,451.6,100_50,100,50,DC
-61.226424642037294,462.4,100_50,100,50,DC
-61.22571927870367,472.4,100_50,100,50,DC
-61.221528515610146,483.6,100_50,100,50,DC
-61.26133795876478,493.6,100_50,100,50,DC
-61.25653847478082,505,100_50,100,50,DC
-61.2561443028324,520.2,100_50,100,50,DC
-61.310443523077915,532.2,100_50,100,50,DC
-61.35431149402961,546,100_50,100,50,DC
-61.34708852393386,557.8,100_50,100,50,DC
-61.34395373205843,575.2,100_50,100,50,DC
-61.3784485021901,580,100_50,100,50,DC
-61.40750577771753,591.6,100_50,100,50,DC
-61.37996427775741,601.4,100_50,100,50,DC
-61.383006711321215,614.8,100_50,100,50,DC
-61.39918550351996,626.2,100_50,100,50,DC
-61.377582205145266,637.4,100_50,100,50,DC
-61.378705691272216,648.6,100_50,100,50,DC
-61.365400588655206,660.4,100_50,100,50,DC
-61.35984218357963,672,100_50,100,50,DC
-61.33731073043681,683.8,100_50,100,50,DC
-61.34236060604583,694.8,100_50,100,50,DC
-61.357414588953326,706.2,100_50,100,50,DC
-61.374871141248356,719.2,100_50,100,50,DC
-61.36191123621251,730.8,100_50,100,50,DC
-61.35540826280469,743,100_50,100,50,DC
-61.390157061827914,755.8,100_50,100,50,DC
-61.3952660276307,768,100_50,100,50,DC
-61.425757150307675,779.8,100_50,100,50,DC
-61.44507514433053,792.8,100_50,100,50,DC
-61.43044970956998,804.6,100_50,100,50,DC
-61.41475629943013,817.2,100_50,100,50,DC
-61.419832752349826,828.8,100_50,100,50,DC
-61.427964440804146,841.2,100_50,100,50,DC
-61.43915033311522,854.2,100_50,100,50,DC
-61.434813409626535,866,100_50,100,50,DC
-61.437908359063904,878,100_50,100,50,DC
-61.44735953775725,890.8,100_50,100,50,DC
-61.45275677093211,902.6,100_50,100,50,DC
-61.492244918576496,914.6,100_50,100,50,DC
-61.501479463369435,927,100_50,100,50,DC
-61.527361535919674,938.8,100_50,100,50,DC
-61.51279013756069,951.2,100_50,100,50,DC
-61.514475745201466,963,100_50,100,50,DC
-61.50626045637835,974.8,100_50,100,50,DC
-61.497232452461894,987.6,100_50,100,50,DC
-61.491868137364364,998.2,100_50,100,50,DC
-61.48327824513689,1009.4,100_50,100,50,DC
-61.48498006048817,1021.8,100_50,100,50,DC
-61.48099304671705,1032.6,100_50,100,50,DC
-61.49385286759736,1043.6,100_50,100,50,DC
-61.4932578309192,1055.6,100_50,100,50,DC
-61.49613880211994,1065.2,100_50,100,50,DC
-61.4977611451654,1075.2,100_50,100,50,DC
-61.487976910318835,1085.2,100_50,100,50,DC
-61.48400976715971,1094.6,100_50,100,50,DC
-61.491416251122345,1105.4,100_50,100,50,DC
-61.491990169921934,1116,100_50,100,50,DC
-61.49829225421468,1126.2,100_50,100,50,DC
-61.50494067441014,1135.6,100_50,100,50,DC
-61.50525927045358,1143,100_50,100,50,DC
-61.50643969249508,1148.8,100_50,100,50,DC
-61.50330967898654,1156.6,100_50,100,50,DC
-61.50911232314012,1162.4,100_50,100,50,DC
-61.50982448100527,1169.8,100_50,100,50,DC
-112.05469652268934,1,50_100,50,100,DC
-111.48081823275676,50,50_100,50,100,DC
-111.52494813245207,100,50_100,50,100,DC
-111.56074527862508,150,50_100,50,100,DC
-111.62624827060144,200,50_100,50,100,DC
-111.71215516460205,250,50_100,50,100,DC
-111.66345127968653,300,50_100,50,100,DC
-111.63625095481078,350,50_100,50,100,DC
-111.6599795023092,400,50_100,50,100,DC
-111.75879359598463,450,50_100,50,100,DC
-111.86192334576522,500,50_100,50,100,DC
-111.88527433456196,550,50_100,50,100,DC
-111.88734246818596,600,50_100,50,100,DC
-111.94860845511938,650,50_100,50,100,DC
-111.98147073652365,700,50_100,50,100,DC
