loglik_mean,num_edge,n_p,n,p,model
12.482752907217133,1,25_50,25,50,DC
12.520692106515448,13,25_50,25,50,DC
12.54200782530443,25,25_50,25,50,DC
12.53688466687419,38,25_50,25,50,DC
12.54750749303906,50,25_50,25,50,DC
12.491250315453806,62,25_50,25,50,DC
12.482283103798395,75,25_50,25,50,DC
12.478854303431595,87,25_50,25,50,DC
12.572791778540083,99,25_50,25,50,DC
12.60270724540033,112,25_50,25,50,DC
12.643713994618931,124,25_50,25,50,DC
12.674521128777958,137,25_50,25,50,DC
12.73188680289984,149,25_50,25,50,DC
12.753491298249443,161,25_50,25,50,DC
12.84689805517036,174,25_50,25,50,DC
12.849174419247225,186,25_50,25,50,DC
12.833825991042012,198,25_50,25,50,DC
12.758394616036364,211,25_50,25,50,DC
12.76891631209854,223,25_50,25,50,DC
12.821807146551693,235,25_50,25,50,DC
12.814932324825229,248,25_50,25,50,DC
12.859987523901072,260,25_50,25,50,DC
12.85638329184002,273,25_50,25,50,DC
12.777442197971544,285,25_50,25,50,DC
12.722863293352109,297,25_50,25,50,DC
12.66992234304132,310,25_50,25,50,DC
12.645908389229369,322,25_50,25,50,DC
12.642161097060468,334,25_50,25,50,DC
12.623080092341143,347,25_50,25,50,DC
12.570927114478721,359,25_50,25,50,DC
12.586672333058662,371,25_50,25,50,DC
12.613955906917154,384,25_50,25,50,DC
12.57787959206425,396,25_50,25,50,DC
12.559433793244683,409,25_50,25,50,DC
12.536437124579155,421,25_50,25,50,DC
12.507573269017687,433,25_50,25,50,DC
12.479966541459897,446,25_50,25,50,DC
12.422400197830068,458,25_50,25,50,DC
12.409569072691554,470,25_50,25,50,DC
12.360118504944857,483,25_50,25,50,DC
12.377921172834416,495,25_50,25,50,DC
12.351444732667838,507,25_50,25,50,DC
12.334399259076452,520,25_50,25,50,DC
12.33328363983555,532,25_50,25,50,DC
12.327820079201599,545,25_50,25,50,DC
12.35217994463162,557,25_50,25,50,DC
12.324058835628964,569,25_50,25,50,DC
12.342379258024916,582,25_50,25,50,DC
12.341614107579424,594,25_50,25,50,DC
12.339729999958717,606,25_50,25,50,DC
12.367027553291322,619,25_50,25,50,DC
12.335227574710162,631,25_50,25,50,DC
12.330369376812575,643,25_50,25,50,DC
12.3144766961391,656,25_50,25,50,DC
12.278600391921142,668,25_50,25,50,DC
12.257621869395162,681,25_50,25,50,DC
12.241432458577037,693,25_50,25,50,DC
12.231914887500261,705,25_50,25,50,DC
12.215369733409528,718,25_50,25,50,DC
12.22785439702363,730,25_50,25,50,DC
12.238630628759381,742,25_50,25,50,DC
12.267966707176132,755,25_50,25,50,DC
12.287376279721084,767,25_50,25,50,DC
12.29419258624047,779,25_50,25,50,DC
12.262092401204649,792,25_50,25,50,DC
12.224585925031585,804,25_50,25,50,DC
12.226231245769563,817,25_50,25,50,DC
12.228498248910388,829,25_50,25,50,DC
12.241235575900962,841,25_50,25,50,DC
12.242563797064086,853.8,25_50,25,50,DC
