n_p,mean,std,n_mean,n_std,model,n,p
100_100,0.046701220564502856,0.0019647407828984444,1290.1333333333334,61.23256464643691,glasso,100,p=100
100_100,0.4123725813847343,0.019779119341659216,94.96666666666667,7.626102081023541,DC,100,p=100
100_100,0.049066279933885584,0.0018575446712919433,1214.6666666666667,48.97048919768453,SCAD,100,p=100
100_100,0.06571868936194832,0.00293117412119343,902.2333333333333,51.72539524653207,adapt,100,p=100
100_200,0.008419319510976488,0.002217935677443483,2595.733333333333,460.5361266878793,glasso,100,p=200
100_200,0.08240420675329416,0.007702029026955047,778.2,89.23316222895674,DC,100,p=200
100_200,0.012057719788270704,3.130820121659348e-4,4796.433333333333,123.86849425795005,SCAD,100,p=200
100_200,0.015287680443667224,5.142122626628125e-4,3775.0666666666666,133.73856752801132,adapt,100,p=200
100_50,0.12290984442103071,0.003687668557797779,460.56666666666666,14.464040494721738,glasso,100,p=50
100_50,0.19859019236513678,0.014023056871767114,298.3666666666667,19.89729279415666,DC,100,p=50
100_50,0.15821952396683248,0.006018865877460756,354.7,13.531669961760928,SCAD,100,p=50
100_50,0.2065944997350563,0.007409049949675178,260.8,10.818502669038814,adapt,100,p=50
200_100,0.037552126040678736,9.422316538157079e-4,1586.3333333333333,38.42808878493484,glasso,200,p=100
200_100,0.5454634321638181,0.02010670877729775,78.2,4.728587551255138,DC,200,p=100
200_100,0.04723572382536043,0.0012809003715149492,1258.9666666666667,33.19875649704657,SCAD,200,p=100
200_100,0.06466175898885915,0.002440540317630995,933.3666666666667,39.01769369729506,adapt,200,p=100
200_200,0.01208164837535714,3.083626256733524e-4,5013.466666666666,136.00390235555267,glasso,200,p=200
200_200,0.24396551724137933,0.001900870663346987,202,0,DC,200,p=200
200_200,0.013003613494319718,2.1400452473574984e-4,4604.2,86.80745505354689,SCAD,200,p=200
200_200,0.016455028016873197,5.789149957058179e-4,3731.3,130.80803826051064,adapt,200,p=200
200_400,0.015296983620969448,0.0020884483425713824,3585.6,321.4181063357504,glasso,200,p=400
200_400,0.04786486628645281,0.0030345063722623995,1263.7333333333333,74.16703628992228,DC,200,p=400
200_400,0.011393645062729435,0.0010308759215403901,5624.166666666667,247.7342109439684,SCAD,200,p=400
200_400,0.015504800840629294,0.001446114452113708,4259.8,229.91765342470302,adapt,200,p=400
25_50,0.10367896548105325,0.0067396974074978855,416.46666666666664,29.521226858805214,glasso,25,p=50
25_50,0.11135749174146561,0.004456984605165724,426.53333333333336,25.54062499047771,DC,25,p=50
25_50,0.09787927211174277,0.0051765514664110154,542.1333333333333,37.66335251415312,SCAD,25,p=50
25_50,0.10069777503348414,0.006483568706020869,488.7,40.435137502271296,adapt,25,p=50
400_200,0.016782366053604603,6.67219315841523e-4,3692.6666666666665,133.82841418938074,glasso,400,p=200
400_200,0.25775862068965516,4.802465642509972e-4,202,0,DC,400,p=200
400_200,0.023331842602550758,4.642474415255852e-4,2578.4,63.82567133872609,SCAD,400,p=200
400_200,0.033178157422879134,0.0018594817954490216,1967.8333333333333,122.6764933907525,adapt,400,p=200
400_400,0.002384220426071557,1.0622353818206149e-4,26706.533333333333,1292.7169594764384,glasso,400,p=400
400_400,0.06995246233030364,0.0015753982936341701,860.7333333333333,53.73333333333334,DC,400,p=400
400_400,0.003805297197528968,1.155358626471607e-4,16218.933333333332,559.1155390915546,SCAD,400,p=400
400_400,0.00375797070073471,2.171247496304847e-4,17294.733333333334,865.8487656076059,adapt,400,p=400
50_100,0.13088303249484778,0.021718994893740292,816.9,210.6019197934569,glasso,50,p=100
50_100,0.33166299838781016,0.021617614400221072,232.96666666666667,134.16668722781307,DC,50,p=100
50_100,0.07785965189567313,0.012869245848030753,1309.1333333333334,202.38364463774798,SCAD,50,p=100
50_100,0.1003457567252687,0.020549479847840287,1289.5333333333333,217.31824607388205,adapt,50,p=100
50_50,0.10443241593751992,0.002942378553200018,523.4666666666667,17.46344183619837,glasso,50,p=50
50_50,0.14009586957213804,0.009078800170416663,399.73333333333335,24.291568630152522,DC,50,p=50
50_50,0.12534894928919046,0.005388710063494587,435.3666666666667,22.628965434335534,SCAD,50,p=50
50_50,0.14797342406146163,0.006577752331388702,362.46666666666664,19.286630074143545,adapt,50,p=50
800_400,0.006077860483348183,1.5469134177238374e-4,10112.166666666666,366.2153191248092,glasso,800,p=400
800_400,0.07168458781362008,0,807,0,DC,800,p=400
800_400,0.016177486219705113,6.921659606541458e-4,3911.2,189.65309771070008,SCAD,800,p=400
800_400,0.0161143135431922,8.702344841089993e-4,3992.0666666666666,229.88068836078,adapt,800,p=400
