n_p,mean,std,n_mean,n_std,model,n,p
100_100,0.06725237791556596,0.006269569195463728,203.46666666666667,41.75152921236396,glasso,100,p=100
100_100,0.17785329404894623,0.014280791717796351,80,10.880753861644934,DC,100,p=100
100_100,0.14178426504652608,0.011423243614428287,67.46666666666667,24.66412226703122,SCAD,100,p=100
100_100,0.09293100513790502,0.007378725118010943,207.9,27.81649018903682,adapt,100,p=100
100_200,0.06923389578685496,0.007537594970969311,22.266666666666666,4.790299905024384,glasso,100,p=200
100_200,0.058072237469586833,0.003796258367901937,349.4,83.42360535864222,DC,100,p=200
100_200,0.03890007410535221,0.006422194908144118,177.16666666666666,35.94613093925291,SCAD,100,p=200
100_200,0.029463810461721984,0.0049898172830446005,330.3,137.33972602574823,adapt,100,p=200
100_50,0.10530546756417027,0.003950808279825935,347.23333333333335,17.993912337956235,glasso,100,p=50
100_50,0.31127785404170083,0.016095028176566658,49.86666666666667,6.039283913807238,DC,100,p=50
100_50,0.18071814873791758,0.006017721808292757,141.2,11.672189169131899,SCAD,100,p=50
100_50,0.12921790207026285,0.0056754005083319665,267.8,19.321324054484222,adapt,100,p=50
200_100,0.02693126035607555,9.769975393409283e-4,1652.4666666666667,90.68316364453975,glasso,200,p=100
200_100,0.14668120887651137,0.014342522542045304,271.6666666666667,38.25829737465669,DC,200,p=100
200_100,0.13012074902379778,0.009022802499710129,258.03333333333336,42.457618715292796,SCAD,200,p=100
200_100,0.03331625375247397,0.001496295791194131,1323.4,83.77248334338213,adapt,200,p=100
200_200,0.039113380281163374,0.005153632721678917,949,277.6246908427225,glasso,200,p=200
200_200,0.03624600408931838,0.004493542738384808,1200.3,151.6087989894864,DC,200,p=200
200_200,0.01666193597067212,9.554877707928179e-4,2125.5333333333333,100.94108596230299,SCAD,200,p=200
200_200,0.008682163444615877,4.0915093448223486e-4,4864.666666666667,364.52946945290563,adapt,200,p=200
200_400,0.03655913978494624,0.0059366874481647566,0.6333333333333333,0.08948554539839962,glasso,200,p=400
200_400,0.033619691771407535,0.004645139625171147,1398.0666666666666,256.14594857850096,DC,200,p=400
200_400,0.12074176931150947,0.009618917347021406,80.2,13.202699131912995,SCAD,200,p=400
200_400,0.10457300308408327,0.015177858354223835,635.0666666666667,199.78627047355334,adapt,200,p=400
25_50,0.05049112181892518,0.009896611544528236,29.166666666666668,19.058354630608953,glasso,25,p=50
25_50,0.09514004441014602,0.005241041878308189,207,10.361067712254902,DC,25,p=50
25_50,0.05052176713320318,0.00855841276937445,154.93333333333334,44.1908851405119,SCAD,25,p=50
25_50,0.053695058347288604,0.006764730450865355,127.33333333333333,35.11319407953985,adapt,25,p=50
400_200,0.01889902506310007,0.001435358870069654,2437.4666666666667,237.61582890370306,glasso,400,p=200
400_200,0.12931034482758622,0.004602652902233015,202,0,DC,400,p=200
400_200,0.10285679763466787,0.00574711572709435,313.8,26.878543337651738,SCAD,400,p=200
400_200,0.025311277766223474,0.0016138811370311728,1694.1333333333334,127.12402970014386,adapt,400,p=200
400_400,8.624969530696073e-4,3.590253144286927e-5,70878.86666666667,2391.397137794419,glasso,400,p=400
400_400,0.0024268277420743303,9.588190122787031e-4,61824.53333333333,3736.8091123197223,DC,400,p=400
400_400,0.0028878084883615257,0.001604113936981126,62666.3,3755.064240891012,SCAD,400,p=400
400_400,9.46997131330561e-4,1.016538558370988e-4,71627.66666666667,3555.5505060069504,adapt,400,p=400
50_100,0.04818814841243585,0.007106201437871198,3.533333333333333,0.9869648508727338,glasso,50,p=100
50_100,0.10003560827953724,0.011995442835818305,132.1,73.33595110270224,DC,50,p=100
50_100,0.032893189846939626,0.007567210664909207,322.1333333333333,173.16451372108702,SCAD,50,p=100
50_100,0.030374724705272704,0.0066123719625697875,165.5,164.9827908127627,adapt,50,p=100
50_50,0.1542468009484808,0.01259482803232372,138.56666666666666,38.161594804301124,glasso,50,p=50
50_50,0.247090983409035,0.020755682183441555,70,31.3898365570842,DC,50,p=50
50_50,0.07252173889027932,0.010612860670105527,433.2,69.71054109838688,SCAD,50,p=50
50_50,0.17246611710930226,0.016942949831824945,268.2,68.91396268444852,adapt,50,p=50
800_400,0.0156082118836659,0.005708516349601763,5898.333333333333,1503.9461497859352,glasso,800,p=400
800_400,0.04404619673436878,0.0012637915819422249,807,0,DC,800,p=400
800_400,0.23523513645931302,0.015980075758395797,124.2,12.77051201054579,SCAD,800,p=400
800_400,0.01455255098864968,0.0016860647319168621,3840.366666666667,335.6550037924077,adapt,800,p=400
